sampleID	MO18_001	MO18_002	MO18_003	MO18_004	MO18_005	MO18_006	MO18_007	MO18_008	MO18_009	MO18_010	MO18_011	MO18_012	MO18_013	MO18_014	MO18_015	MO18_016	MO18_020	MO18_024	MO18_028	MO18_032	MO18_033	MO18_034	MO18_035	MO18_036	MO18_037	MO18_038	MO18_039	MO18_040	MO18_041	MO18_042	MO18_043	MO18_044	MO18_045	MO18_046	MO18_047	MO18_048	MO18_052	MO18_056	MO18_060	MO18_064	MO18_065	MO18_066	MO18_067	MO18_068	MO18_069	MO18_070	MO18_071	MO18_072	MO18_073	MO18_074	MO18_075	MO18_076	MO18_077	MO18_078	MO18_079	MO18_080	MO18_082	MO18_084	MO18_086	MO18_088	MO18_090	MO18_092	MO18_094	MO18_096	MO18_097	MO18_098	MO18_099	MO18_100	MO18_101	MO18_102	MO18_103	MO18_104	MO18_105	MO18_106	MO18_107	MO18_108	MO18_109	MO18_110	MO18_111	MO18_112	MO18_116	MO18_120	MO18_124	MO18_128	MO18_129	MO18_130	MO18_131	MO18_132	MO18_133	MO18_134	MO18_135	MO18_136	MO18_137	MO18_139	MO18_140	MO18_141	MO18_142	MO18_143	MO18_144	MO18_148	MO18_152	MO18_156	MO18_160	MO18_193	MO18_194	MO18_195	MO18_196	MO18_197	MO18_198	MO18_199	MO18_200	MO18_201	MO18_202	MO18_203	MO18_204	MO18_205	MO18_206	MO18_207	MO18_208	MO18_212	MO18_216	MO18_220	MO18_224	MO18_225	MO18_226	MO18_227	MO18_228	MO18_229	MO18_230	MO18_231	MO18_232	MO18_233	MO18_234	MO18_235	MO18_236	MO18_237	MO18_238	MO18_239	MO18_240	MO18_244	MO18_248	MO18_252	MO18_256
MO18_011	0.70711	0.55902	0.5	0.55902	0.55902	0.35355	0.25	0.35355	0.5	0.25	0	0.25	0.55902	0.35355	0.25	0.35355	4	4	4	4	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202
MO18_012	0.90139	0.70711	0.55902	0.5	0.79057	0.55902	0.35355	0.25	0.75	0.5	0.25	0	0.79057	0.55902	0.35355	0.25	4	4	4	4	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202
MO18_013	0.75	0.79057	0.90139	1.06066	0.5	0.55902	0.70711	0.90139	0.25	0.35355	0.55902	0.79057	0	0.25	0.5	0.75	4	4	4	4	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202
MO18_014	0.79057	0.75	0.79057	0.90139	0.55902	0.5	0.55902	0.70711	0.35355	0.25	0.35355	0.55902	0.25	0	0.25	0.5	4	4	4	4	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202
MO18_015	0.90139	0.79057	0.75	0.79057	0.70711	0.55902	0.5	0.55902	0.55902	0.35355	0.25	0.35355	0.5	0.25	0	0.25	4	4	4	4	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202
MO18_016	1.06066	0.90139	0.79057	0.75	0.90139	0.70711	0.55902	0.5	0.79057	0.55902	0.35355	0.25	0.75	0.5	0.25	0	4	4	4	4	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202
MO18_020	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0	6.36396	9	6.36396	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202
MO18_024	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	6.36396	0	6.36396	9	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202
MO18_028	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	9	6.36396	0	6.36396	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202
MO18_032	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	6.36396	9	6.36396	0	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	2072.333052	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	1504.087982	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	2586.139498	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	1090.480482	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202	2144.156202
MO18_033	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	0	0.25	0.5	0.75	0.25	0.35355	0.55902	0.79057	0.5	0.55902	0.70711	0.90139	0.75	0.79057	0.90139	1.06066	4	4	4	4	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132
MO18_034	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	0.25	0	0.25	0.5	0.35355	0.25	0.35355	0.55902	0.55902	0.5	0.55902	0.70711	0.79057	0.75	0.79057	0.90139	4	4	4	4	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132
MO18_035	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	0.5	0.25	0	0.25	0.55902	0.35355	0.25	0.35355	0.70711	0.55902	0.5	0.55902	0.90139	0.79057	0.75	0.79057	4	4	4	4	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132
MO18_036	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	0.75	0.5	0.25	0	0.79057	0.55902	0.35355	0.25	0.90139	0.70711	0.55902	0.5	1.06066	0.90139	0.79057	0.75	4	4	4	4	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132
MO18_037	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	0.25	0.35355	0.55902	0.79057	0	0.25	0.5	0.75	0.25	0.35355	0.55902	0.79057	0.5	0.55902	0.70711	0.90139	4	4	4	4	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132
MO18_038	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	1221.464193	0.35355	0.25	0.35355	0.55902	0.25	0	0.25	0.5	0.35355	0.25	0.35355	0.55902	0.55902	0.5	0.55902	0.70711	4	4	4	4	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	850.9654855	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	2725.023974	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	1366.900595	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	441.5708881	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132	935.0892132
